Loan_ID,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,Gender_Male,Married_Yes,Education_Not_Graduate,SelfEmployed_Yes,PropertyArea_Semiurban,PropertyArea_Urban,LoanStatus_Y
1964.0,0.0,1800.0,2934.0,93.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
1972.0,0.8384528882575759,2875.0,1750.0,105.0,360.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1977.0,1.0,1625.0,1803.0,96.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1994.0,0.0,2400.0,1863.0,104.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2004.0,0.0,2927.0,2405.0,111.0,360.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2024.0,0.0,2473.0,1843.0,159.0,360.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2036.0,0.0,2058.0,2134.0,88.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2051.0,0.0,2400.0,2167.0,115.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2115.0,3.0,2647.0,1587.0,173.0,360.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2128.0,2.0,2583.0,2330.0,125.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2129.0,0.0,2499.0,2458.0,160.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2141.0,3.0,2666.0,2083.0,95.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2143.0,0.0,2423.0,505.0,130.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2158.0,0.0,3000.0,1666.0,100.0,480.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2209.0,0.0,2764.0,1459.0,110.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2239.0,0.0,2346.0,1600.0,132.0,360.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2244.0,0.0,2333.0,2417.0,136.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2263.0,0.0,2583.0,2115.0,120.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2265.0,2.0,1993.0,1625.0,113.0,180.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2287.0,0.0,1500.0,1800.0,103.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2308.0,0.0,2167.0,2400.0,115.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
2332.0,0.0,2253.0,2033.0,110.0,360.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2345.0,0.0,1025.0,2773.0,112.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2361.0,0.0,1820.0,1719.0,100.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2387.0,0.0,2425.0,2340.0,143.0,360.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2398.0,0.0,1926.0,1851.0,50.0,360.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2444.0,1.0,2769.0,1542.0,190.0,360.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2446.0,2.0,2309.0,1255.0,125.0,360.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2447.0,2.0,1958.0,1456.0,60.0,300.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
2449.0,0.0,2483.0,2466.0,90.0,180.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2500.0,3.0,2947.0,1664.0,70.0,180.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2502.0,2.0,210.0,2917.0,98.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
2517.0,1.0,2653.0,1500.0,113.0,180.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2530.0,2.0,2873.0,1872.0,132.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2544.0,1.0,1958.0,2436.0,131.0,360.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2560.0,0.0,2699.0,2785.0,96.0,360.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2587.0,0.0,2600.0,1700.0,107.0,360.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2670.0,2.0,2031.0,1632.0,113.0,480.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2689.0,2.0,2192.0,1742.0,45.0,360.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2714.0,1.0,2679.0,1302.0,94.0,360.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2732.0,0.0,2550.0,2042.0,126.0,360.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2739.0,0.0,2917.0,536.0,66.0,360.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2755.0,1.0,2239.0,2524.0,128.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
2767.0,0.0,2768.0,1950.0,155.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2772.0,0.0,2526.0,1783.0,145.0,360.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2777.0,0.0,2785.0,2016.0,110.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2788.0,0.0,2454.0,2333.0,181.0,360.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2794.0,0.0,2667.0,1625.0,84.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2877.0,1.0,1782.0,2232.0,107.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2911.0,1.0,2787.0,1917.0,146.0,360.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2916.0,0.0,2297.0,1522.0,104.0,360.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2950.0,0.0,2894.0,2792.0,155.0,360.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
